imdb_id,domestic_distributor,domestic_opening,budget,mpaa,running_time,genres,domestic_revenue,international_revenue,worldwide_revenue
tt0038668,,0,0,,1 hr 53 min,Comedy Sport,0,0,0
tt0049431,,0,0,,1 hr 38 min,Drama Romance Western,0,0,0
tt0067601,,0,0,,1 hr 45 min,Drama Horror Thriller,0,0,0
tt1299653,,0,0,R,1 hr 34 min,Horror,0,1521800,1521800
tt0851530,,0,0,R,1 hr 35 min,Crime Horror Mystery Thriller,0,0,0
tt0075962,,0,0,,1 hr 23 min,Drama,0,0,0
tt1326238,,0,0,,1 hr 30 min,Drama Mystery Sci-Fi,0,0,0
tt0062271,,0,0,,1 hr 58 min,Comedy,0,0,0
tt1576440,Magnolia Pictures,2953,0,R,1 hr 39 min,Drama Mystery Thriller,7072,0,7072
tt1293842,Roadside Attractions,0,0,PG-13,1 hr 59 min,Comedy Sport,0,0,0
tt1597089,First Run,18211,0,,1 hr 36 min,Biography Documentary History Music,263723,0,263723
tt1453403,,0,0,R,1 hr 40 min,Crime Drama,0,0,0
tt0243199,,0,0,,1 hr,Documentary Music,0,0,0
tt1501652,New Films Cinema,0,0,R,1 hr 33 min,Fantasy Mystery Romance Thriller,0,318275,318275
tt1235790,Magnolia Pictures,14367,0,,1 hr 47 min,Documentary,154521,484,155005
tt1235807,,0,0,PG-13,1 hr 34 min,Comedy Drama Romance,0,0,0
tt1604171,Walt Disney Studios Motion Pictures,4712638,8000000,PG,1 hr 44 min,Comedy Drama Family Romance,10130219,572027,10702246
tt0816462,Lionsgate Films,10021215,90000000,R,1 hr 53 min,Action Adventure Fantasy,21295021,42228262,63523283
tt1296898,Freestyle Releasing,8917,5000000,PG-13,1 hr 35 min,Comedy Drama Romance,25517,0,25517
tt1104006,,0,0,R,1 hr 31 min,Horror Thriller,0,270888,270888
tt1043845,,0,0,,1 hr 30 min,Documentary,0,0,0
tt1336011,,0,0,,1 hr 53 min,Documentary,0,0,0
tt0055872,,0,0,,1 hr 15 min,Sci-Fi,0,0,0
tt0922642,After Dark Films,512000,0,R,1 hr 34 min,Drama Horror Thriller,97182,0,97182
tt1262420,,0,0,,2 hr 18 min,Comedy Drama Musical,0,0,0
tt0106545,,0,0,,1 hr 35 min,Action Comedy Sci-Fi,0,0,0
tt0024617,,0,0,,1 hr 10 min,Drama,0,0,0
tt0071949,,0,0,,1 hr 49 min,Drama History,0,0,0
tt1814836,Roadside Attractions,25820,0,PG-13,1 hr 33 min,Documentary,411184,201655,612839
tt0032447,,0,0,,1 hr 44 min,Crime Drama Mystery Romance,0,0,0
tt0458480,,0,0,R,1 hr 27 min,Horror Thriller,0,0,0
tt0109779,,0,0,,1 hr 46 min,Drama Romance Sci-Fi Thriller War,0,0,0
tt0862892,,0,0,R,1 hr 28 min,Horror Thriller,0,0,0
tt0111749,,0,0,,1 hr 33 min,Drama,0,0,0
tt1316037,,0,0,,1 hr 45 min,Horror Thriller,0,0,0
tt0364745,,0,0,R,1 hr 35 min,Drama Romance,0,0,0
tt0083713,,0,0,,2 hr 51 min,Drama History,0,0,0
tt1522334,,0,0,R,1 hr 21 min,Drama,0,0,0
tt0059803,Film Movement,3411,0,,1 hr 30 min,Drama Western,13707,0,13707
tt1716772,Wrekin Hill Entertainment,36000,0,R,1 hr 37 min,Comedy,36000,88787111,88823111
tt0100288,,0,0,,1 hr 33 min,Drama,0,0,0
tt1797469,,0,0,,1 hr 39 min,Drama Mystery Thriller,0,0,0
tt0379269,,0,0,,2 hr 28 min,Documentary,0,0,0
tt0094816,Vestron Pictures,0,0,,1 hr 46 min,Drama,0,0,0
tt1235170,Roadside Attractions,27137,1000000,R,1 hr 31 min,Drama Fantasy Romance,568662,318510,887172
tt1125929,eOne Entertainment,44220,25000000,R,1 hr 57 min,Biography Comedy Drama Romance Sport,137885,8264,146149
tt0023326,,0,0,,1 hr 21 min,Crime Drama,0,0,0
tt0002461,,0,0,,55 min,Drama,0,0,0
tt0873886,SModcast Pictures,204230,0,R,1 hr 28 min,Action Crime Horror Thriller,1104682,769778,1874460
tt1319744,The Cinema Guild,7920,0,,2 hr 5 min,Crime Documentary,282448,4009,286457
tt0025509,,0,0,,4 hr 39 min,Drama,0,0,0
tt0049357,,0,0,,1 hr 44 min,Action Adventure Drama History War,0,0,0
tt0104662,,0,0,,2 hr 7 min,Comedy Drama Romance,0,0,0
tt0162426,,0,0,,1 hr 39 min,Crime Drama Thriller,0,20244,20244
